	('treatment: A549 1hr ires', 'cell line: A549', 'drug: ires', 'time: 1hr', 'custom: b')	('treatment: A549 24hr ires', 'cell line: A549', 'drug: ires', 'time: 24hr', 'custom: a')	('treatment: A549 1hr glee', 'cell line: A549', 'drug: glee', 'time: 1hr', 'custom: h')	('treatment: A549 24hr glee', 'cell line: A549', 'drug: glee', 'time: 24hr', 'custom: g')	('treatment: A549 1hr criz', 'cell line: A549', 'drug: criz', 'time: 1hr', 'custom: n')	('treatment: MKN-45 1hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 1hr', 'custom: r')	('treatment: MKN-45 3hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 3hr', 'custom: q')	('treatment: MKN-45 6hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 6hr', 'custom: p')	('treatment: MKN-45 24hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 24hr', 'custom: o')	('treatment: H1703 1hr glee', 'cell line: H1703', 'drug: glee', 'time: 1hr', 'custom: m')	('treatment: H1703 3hr glee', 'cell line: H1703', 'drug: glee', 'time: 3hr', 'custom: l')	('treatment: H1703 6hr glee', 'cell line: H1703', 'drug: glee', 'time: 6hr', 'custom: k')	('treatment: H1703 24hr glee1', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: j')	('treatment: H1703 24hr glee2', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: i')	('treatment: H2228 1hr criz', 'cell line: H2228', 'drug: criz', 'time: 1hr', 'custom: t')	('treatment: H2228 3hr criz', 'cell line: H2228', 'drug: criz', 'time: 3hr', 'custom: s')	('treatment: H3122 1hr criz', 'cell line: H3122', 'drug: criz', 'time: 1hr', 'custom: v')	('treatment: H3122 3hr criz', 'cell line: H3122', 'drug: criz', 'time: 3hr', 'custom: u')	('treatment: H3255 1hr ires', 'cell line: H3255', 'drug: ires', 'time: 1hr', 'custom: f')	('treatment: H3255 3hr ires', 'cell line: H3255', 'drug: ires', 'time: 3hr', 'custom: e')	('treatment: H3255 6hr ires', 'cell line: H3255', 'drug: ires', 'time: 6hr', 'custom: d')	('treatment: H3255 24hr ires', 'cell line: H3255', 'drug: ires', 'time: 24hr', 'custom: c')
('PTM: TP53BP1-S1219', 'Amino Acid: Serine')	0.172946935	0.443725229	0.31753326	0.297740704	0.56144313	nan	nan	nan	nan	0.352149014	0.192953213	0.145997075	0.420151568	0.515127157	-0.215836234	0.354927808	0.026382686	0.068543921	-0.106031017	-0.387928212	0.175425804	-0.036306395
('PTM: MYOF-S731', 'Amino Acid: Serine')	0.044656081	-0.016850107	0.301847816	-0.112550003	0.319578438	-0.306588912	-0.307747135	-0.397858019	-0.335580454	0.242528079	0.286166139	-0.126655104	-0.27161661	0.004103895	nan	nan	0.158193323	0.344260414	-0.05268598	-0.175447692	-0.124265642	-0.030909049
('PTM: MLLT4-S1799', 'Amino Acid: Serine')	-1.608971721	0.413966018	-0.038851318	0.967336599	-0.106478528	-5.616179867	-3.429100127	-4.177155698	-3.507296572	-5.050674553	-3.027025255	-3.636877696	-3.015669686	-3.159247935	nan	nan	-4.461546218	-3.035616852	-5.214053671	-3.411121671	-2.973066137	-3.305650359
('PTM: FLII-S436', 'Amino Acid: Serine')	-0.408372188	-0.158504814	0.180317226	-0.415559571	0.072148323	-0.441601736	-0.878733821	-1.768795613	-2.219166976	-0.207475995	-0.267655477	-0.490806864	-0.393686547	-0.197363864	-0.682422333	-0.269841668	-0.792367765	-0.707519607	0.01641689	-0.585297883	-1.243758881	-0.236264751
('PTM: FAM208A-S1103', 'Amino Acid: Serine')	0.595522534	0.793563387	0.555661102	0.637362241	0.690547296	-0.0602132	0.00832433	-0.034020271	-0.132135208	0.31424345	0.378663519	0.200460772	0.015886113	0.235503022	-0.1617925	-0.070475368	0.076089868	0.039480083	0.281856344	0.119091942	-0.053571767	-0.04845398
('PTM: VGLL4-S52', 'Amino Acid: Serine')	0.260655824	0.535756532	0.231483578	0.330795695	0.457757478	0.011895838	-0.23957784	-0.099415118	-0.66123946	0.29946194	0.046096086	-0.086142112	-0.004386304	0.041936108	0.221478807	0.038555583	-0.018427736	-0.209779501	-0.245952714	-0.46865667	-0.753130557	-1.088589403
('PTM: HDAC5-S1108', 'Amino Acid: Serine')	-0.059161498	1.26318437	0.19371826	0.924182983	0.29314284	-0.029353153	-0.131777561	-0.466026739	-0.060371571	0.506660945	0.30822752	-0.063934828	0.916904797	0.948374339	-0.281207169	-0.082257882	-0.264601461	-0.189114305	-0.124555727	-0.172827797	-0.549346783	0.488513217
('PTM: LSM14A-S178', 'Amino Acid: Serine')	-0.014016584	0.221634937	-0.005618434	-0.318310608	0.107679412	0.130009663	0.417293472	0.52626	-0.58385947	0.283204408	-0.166914319	-0.021880806	-0.299142296	0.006515948	0.769358517	0.739659307	-0.055181253	-0.084331411	-0.716374499	-0.223899248	-0.456192795	0.291982442
('PTM: HNRNPA1-S95', 'Amino Acid: Serine')	-0.805245933	0.941196165	-0.33616444	-0.445075904	-0.336542434	-0.256922061	0.007225678	-0.008509108	0.646620508	-0.368666248	-0.291936914	-0.254128969	0.470745367	0.681713028	0.194585709	0.771743761	0.231817112	0.638384664	0.732345817	0.229203349	0.814872342	4.477020377
('PTM: EIF6-S243', 'Amino Acid: Serine')	0.806383715	0.975020863	0.51762036	0.690178539	0.418103652	0.22744493	0.142326207	-1.00846886	0.571549101	0.988415027	0.285170013	0.39504427	0.009521596	0.435286135	0.164325766	0.337315375	nan	nan	0.409724487	0.343165626	1.443685349	0.642953181
('PTM: CHD8-S2046', 'Amino Acid: Serine')	0.410563838	0.467934093	0.102025692	0.316239785	0.278934648	nan	nan	nan	nan	0.332588795	-0.086898234	-0.13347925	-0.162962469	-0.116347516	0.063110708	0.066849832	0.29835797	0.347441183	-0.156375318	0.095402615	-0.030145013	-0.386535459
('PTM: HSPA8-S329', 'Amino Acid: Serine')	-0.033147523	0.177525172	0.044423652	-0.123373612	0.180734225	-0.090761824	-0.072152145	-0.234570918	-0.402258175	0.101900454	-0.02862049	-0.208901845	-0.057766122	-0.327788449	-0.07780217	0.07723686	0.250586764	0.239467786	0.118135583	0.043421626	-0.167909396	-0.467652709
('PTM: KIF14-S1292', 'Amino Acid: Serine')	0.040302141	0.497093374	-0.229772161	0.096649335	0.434198321	0.067051093	0.06122678	-0.670091041	0.130534061	-0.20919038	-0.555838276	-0.415948433	-0.494296262	-0.482852648	-0.800474286	-0.559234408	-0.037175615	0.134358852	0.07782097	0.329820214	0.231994782	-0.021035298
('PTM: ARHGAP29-S1029', 'Amino Acid: Serine')	0.350695789	0.289150007	0.395213344	0.309031597	0.515086276	-0.16075525	-0.282401087	-0.163177451	-0.320615101	0.176449014	0.288897221	0.020645177	-0.271679448	-0.124859856	-0.416367743	-0.47018637	nan	nan	0.45943889	0.118354692	-0.028741779	-0.253469977
('PTM: POLR3E-S162', 'Amino Acid: Serine')	0.157421606	0.435034681	0.063925102	0.100439245	0.310420173	-0.282413515	-0.295093508	-0.512856749	-0.569472414	0.50179721	0.395570253	0.090214503	0.263119531	0.298324359	nan	nan	0.037207484	-0.015305077	0.116244118	-0.396358657	-0.228801515	-0.203489469
('PTM: EPS8-S685', 'Amino Acid: Serine')	0.249350828	1.114463178	0.478121738	0.774124009	0.656757361	-0.311543697	-0.236814028	-0.514431731	-0.587562879	-0.410607694	-0.245300806	-0.449882264	-0.840559743	-0.488162831	0.011128235	-0.249392122	0.059951216	0.020907844	-0.433547534	-0.500732354	-0.523999159	-0.991764301
('PTM: C5orf30-S132', 'Amino Acid: Serine')	0.022282752	-0.047058276	0.371995131	0.073175853	0.373827358	-0.047395228	-0.382588152	-0.432974807	-1.065732389	-0.023631077	0.168049898	-0.037099164	-0.373736471	-0.19506219	-0.402472996	0.171917942	-0.375159877	-0.140673643	-0.616950791	0.216096316	-0.299845309	-0.395377917
('PTM: GPS1-S474', 'Amino Acid: Serine')	0.503262519	0.727198389	0.557038872	0.635743853	0.657349358	-0.079767182	-0.284516276	-0.509260944	-0.594165683	0.773794044	0.899722031	0.734743593	1.048872026	1.117336957	nan	nan	-0.314419612	-0.604439091	-0.170522576	-0.522380859	-0.065615761	-0.597883231
